id,Name,Year
369856,A Taxi Driver,2017
80198,Under the Skin,2013
44974,Sexy Beast,2000
45941,Birth,2004
2702,Citizen Kane,1941
11203,The Green Ray,1986
16730,My Night at Maud's,1969
413,Boyfriends and Girlfriends,1987
34766,The Aviator's Wife,1981
46413,A Tale of Autumn,1998
46412,A Tale of Winter,1992
33821,A Tale of Springtime,1990
41498,The Picture of Dorian Gray,1945
305811,First Man,2018
18846,Guy and Madeline on a Park Bench,2009
781659,Bright House,2021
389079,Mary Queen of Scots,2018
842301,Challengers,2024
45017,The Deer Hunter,1978
51480,A.I. Artificial Intelligence,2001
51430,Manhattan,1979
380638,Big Little Lies,2017
51978,Billy Elliot,2000
47910,The Reader,2008
226115,Billy Elliot: The Musical Live,2014
207857,National Theatre Live: Skylight,2014
57792,The Iron Lady,2011
550637,Let Them All Talk,2020
46795,Marvin's Room,1996
44533,Silkwood,1983
43571,Heartburn,1986
199767,Ricki and the Flash,2015
50383,The House of the Spirits,1993
37090,Angels in America,2003
918809,The U.S. and the Holocaust,2022
220506,The Roosevelts: An Intimate History,2014
6538,Kramer vs. Kramer,1979
876778,Five Came Back,2017
51438,The Bridges of Madison County,1995
1078364,The Orange Forest,2023
1002938,Terrestrial Verses,2023
548375,Son-Mother,2019
30071,Come Live with Me,1941
122830,The Pear Tree,1998
51349,Night and Fog,1956
51887,Breakfast at Tiffany's,1961
51228,Do the Right Thing,1989
44956,Father of the Bride,1991
485265,Three Thousand Years of Longing,2022
47867,Napoleon Dynamite,2004
51238,The Great Dictator,1940
45825,Steel Magnolias,1989
112688,The Report,1977
259395,Amy,2015
35627,Men Behind the Sun,1988
485309,Hamilton,2020
46349,The Bitter Tears of Petra von Kant,1972
40311,Neon Genesis Evangelion: The End of Evangelion,1997
45519,The Return,2003
29625,Opening Night,1977
6524,Gloria,1980
404987,Ville Marie,2009
50917,Brubaker,1980
51890,Ocean's Eleven,2001
98566,My Girlfriend's Wedding,1969
51835,Rebel Without a Cause,1955
45056,Stroszek,1977
45044,The Enigma of Kaspar Hauser,1974
44909,How the West Was Won,1962
45057,The Man Who Shot Liberty Valance,1962
51525,The Grapes of Wrath,1940
49883,My Darling Clementine,1946
21880,How Green Was My Valley,1941
4449,Home,2009
47628,The Vanishing,1988
51004,Kingdom of Heaven,2005
31529,The World Unseen,2007
51984,8 Mile,2002
