id,Name,Release_Year,user_rate
28044,Simon of the Desert,1965,3.5
50090,Pierrot le Fou,1965,4.0
19668,Film,1965,3.5
51215,For a Few Dollars More,1965,3.0
16469,Tramway,1966,2.0
17946,A Modern Coed,1966,
189932,Women's Quarter,1966,3.5
49172,Masculin Féminin,1966,3.0
189934,Tehran Is the Capital of Iran,1966,3.5
22368,The Nun,1966,2.0
39229,Au Hasard Balthazar,1966,4.0
32850,The Face of Another,1966,4.0
39969,Punch and Judy,1966,3.0
51355,Persona,1966,5.0
32919,Made in U.S.A,1966,2.5
51257,Andrei Rublev,1966,5.0
48216,El Dorado,1966,3.0
51163,Blow-Up,1966,4.5
51666,"The Good, the Bad and the Ugly",1966,3.5
18447,Daisies,1966,4.0
16774,Six Men Getting Sick,1967,3.5
201779,Uncle Yanco,1967,3.5
74529,Evening Classes,1967,3.5
49113,La Collectionneuse,1967,3.5
47891,2 or 3 Things I Know About Her,1967,3.0
50973,Mouchette,1967,4.5
19731,The Unprecedented Defence of the Fortress Deutschkreuz,1967,3.0
51475,Belle de Jour,1967,4.0
40702,Branded to Kill,1967,3.0
149058,The Trip to Squash Land,1967,
51629,Bonnie and Clyde,1967,4.0
50912,La Chinoise,1967,3.0
39938,Historia Naturae (suita),1967,3.5
48817,Le Samouraï,1967,4.5
8922,Viy,1967,1.5
46424,PlayTime,1967,4.5
16840,The Big Shave,1967,3.0
47890,Weekend,1967,3.5
152882,The Glass Harmonica,1968,4.0
39930,Picnic with Weismann,1968,3.5
40422,Hour of the Wolf,1968,4.0
156310,Be Seeing You,1968,3.5
51987,2001: A Space Odyssey,1968,4.5
126291,Last Words,1968,3.5
330270,"Good Night, Dear",1968,
71108,The Immortal Story,1968,3.0
51347,Rosemary's Baby,1968,3.5
21474,The Perfect Human,1968,3.5
53963,Signs of Life,1968,3.5
31255,Naked Childhood,1968,4.5
48866,Theorem,1968,2.5
35361,Shame,1968,4.5
100645,Pas de Deux,1968,4.0
46330,Night of the Living Dead,1968,3.5
418617,Wie baue ich einen Molotow-Cocktail ?,1968,
51399,Faces,1968,4.0
14934,Sympathy for the Devil,1968,2.5
51727,Once Upon a Time in the West,1968,4.0
21177,The Cow,1969,3.5
256595,Wind of Jinn,1969,3.5
20933,The Alphabet,1969,3.5
28801,The Milky Way,1969,3.0
1733,The Rite,1969,2.5
110856,Precautions Against Fanatics,1969,3.5
51500,Easy Rider,1969,3.5
16730,My Night at Maud's,1969,3.5
49856,Midnight Cowboy,1969,3.5
51544,The Wild Bunch,1969,3.5
45259,Take the Money and Run,1969,3.5
35421,The Color of Pomegranates,1969,4.5
22484,The Passion of Anna,1969,3.5
43934,Kes,1969,4.5
134804,Sorrows,1969,
100064,The Bread and Alley,1970,3.0
51473,M*A*S*H,1970,3.5
49963,Zabriskie Point,1970,2.5
184765,Why Try to Escape from That Which You Know You Can't Escape From? Because You Are a Coward,1970,
28379,Tristana,1970,3.5
38933,Let It Be,1970,
44906,Even Dwarfs Started Small,1970,3.5
13771,Hope,1970,4.5
47744,The Conformist,1970,3.5
20673,The Grandmother,1970,3.5
35189,Performance,1970,2.0
67008,Wanda,1970,4.5
35182,Five Easy Pieces,1970,4.5
77099,I Never Sang for My Father,1970,3.5
13770,Husbands,1970,4.0
184766,A Flower,1971,
34503,Little Murders,1971,3.0
98703,The Act of Seeing with One's Own Eyes,1971,4.0
48640,Sweet Sweetback's Baadasssss Song,1971,3.5
586152,Release,1971,3.5
45356,Trafic,1971,4.0
84682,"Throw Away Your Books, Rally in the Streets",1971,3.5
22554,WR: Mysteries of the Organism,1971,3.0
10530,Fata Morgana,1971,4.0
34413,The Panic in Needle Park,1971,2.5
51636,Klute,1971,2.5
33211,McCabe & Mrs. Miller,1971,4.0
34693,Two-Lane Blacktop,1971,3.0
35264,Punishment Park,1971,3.0
36222,The Last Picture Show,1971,4.5
51164,The French Connection,1971,3.0
44971,Trinity Is Still My Name,1971,2.0
51867,A Clockwork Orange,1971,4.0
51185,Dirty Harry,1971,2.0
101031,Recess,1972,3.0
639568,Ways of Seeing,1972,3.5
51818,The Godfather,1972,5.0
36691,Slaughterhouse-Five,1972,2.5
51528,Solaris,1972,4.5
329647,Take Five,1972,3.0
3597,We Won't Grow Old Together,1972,4.0
103549,Downpour,1972,3.5
41279,Fat City,1972,3.5
35805,Pink Floyd: Live at Pompeii,1972,3.5
49228,The Discreet Charm of the Bourgeoisie,1972,4.5
15069,The King of Marvin Gardens,1972,3.5
46414,Cries and Whispers,1972,4.5
50612,"Aguirre, the Wrath of God",1972,4.0
51222,Don't Look Now,1973,4.0
50752,The Long Goodbye,1973,4.0
103302,Scenes from a Marriage,1974,4.0
31049,Scarecrow,1973,4.0
16853,The Mother and the Whore,1973,3.0
41663,Fantastic Planet,1973,3.5
47805,The Holy Mountain,1973,2.0
35875,The Friends of Eddie Coyle,1973,3.0
51314,American Graffiti,1973,2.5
245505,A Simple Event,1973,4.0
22119,F for Fake,1973,4.5
49296,The Spirit of the Beehive,1973,4.0
51850,Mean Streets,1973,3.5
49844,Badlands,1973,3.5
44920,Robin Hood,1973,
50228,Lady Snowblood,1973,2.5
47403,Serpico,1973,3.0
41662,The Wicker Man,1973,2.0
42738,The Last Detail,1973,3.5
48563,Papillon,1973,2.5
47315,The Sting,1973,2.0
47048,The Exorcist,1973,2.5
16714,The Amputee,1974,
75605,The Heron and the Crane,1974,3.0
420000,Atal-Matal,1974,
50435,Alice in the Cities,1974,4.5
51840,Ali: Fear Eats the Soul,1974,3.5
191192,The Deer,1974,2.0
51529,The Conversation,1974,4.5
51323,Chinatown,1974,4.0
151764,Still Life,1974,4.5
47800,The Taking of Pelham One Two Three,1974,3.0
48792,The Phantom of Liberty,1974,4.5
31985,The Texas Chain Saw Massacre,1974,2.5
339175,The Rook,1974,3.5
32502,A Woman Under the Influence,1974,5.0
45044,The Enigma of Kaspar Hauser,1974,4.0
12014,The Traveler,1974,2.0
34809,Lenny,1974,4.0
15398,Edvard Munch,1974,5.0
41789,Alice Doesn't Live Here Anymore,1974,3.0
51816,The Godfather: Part II,1974,4.5
385040,The Frontier Experience,1975,
649487,The Mad Mad Mad World,1975,
46949,The Passenger,1975,4.5
51064,Mirror,1975,5.0
51390,Monty Python and the Holy Grail,1975,4.5
70075,The Chaos Class,1975,
21149,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,5.0
45067,Love and Death,1975,3.5
49852,Nashville,1975,4.0
39288,Wrong Move,1975,2.5
44655,Sholay,1975,1.5
51195,Dog Day Afternoon,1975,3.0
28164,Hedgehog in the Fog,1975,3.5
51600,One Flew Over the Cuckoo's Nest,1975,4.5
48865,"Salò, or the 120 Days of Sodom",1975,2.0
454121,Sound of the Pipe,1975,3.0
49811,Barry Lyndon,1975,4.0
103459,A Wedding Suit,1976,2.0
100081,No One Will Play with Me,1976,
51947,Taxi Driver,1976,4.5
30703,The Killing of a Chinese Bookie,1976,4.5
45851,Kings of the Road,1976,4.5
51261,All the President's Men,1976,2.5
45262,The Tenant,1976,3.5
109105,The Pleasure of Love in Iran,1976,
103811,Mindscape,1976,3.5
139486,Chess of the Wind,1976,4.0
48049,Carrie,1976,2.0
45909,Network,1976,3.0
7211,Mikey and Nicky,1976,4.5
112688,The Report,1977,3.5
44900,Suspiria,1977,2.5
51184,Eraserhead,1977,5.0
51423,Annie Hall,1977,3.5
15466,The Ascent,1977,4.0
23383,3 Women,1977,4.0
2706,Star Wars,1977,1.0
45487,The American Friend,1977,4.0
35925,House,1977,2.5
67402,The King of the Street Cleaners,1977,
48653,That Obscure Object of Desire,1977,4.0
209278,Diary of a Lover,1977,2.5
71265,The Cycle,1977,2.5
332099,Mario Puzo's The Godfather: The Complete Novel for Television,1977,
12736,A Grin Without a Cat,1977,4.5
29625,Opening Night,1977,4.5
34529,Killer of Sheep,1978,4.0
41461,Days of Heaven,1978,4.0
45479,Drunken Master,1978,3.0
44320,Autumn Sonata,1978,3.5
60298,Halloween,1978,2.5
45017,The Deer Hunter,1978,3.5
28211,Tale of Tales,1979,3.5
51430,Manhattan,1979,3.0
2690,Apocalypse Now,1979,4.0
51062,Stalker,1979,4.5
41005,...And Justice for All,1979,2.0
6538,Kramer vs. Kramer,1979,3.0
46338,Being There,1979,3.5
87876,Nocturne,1980,3.0
567104,"Iran, Utopia in the Making",1980,4.0
39913,The Fall of the House of Usher,1980,2.5
81186,Werner Herzog Eats His Shoe,1980,
50713,The Empire Strikes Back,1980,1.5
25402,Out of the Blue,1980,3.0
51432,The Shining,1980,4.5
25267,Loulou,1980,3.5
50653,The Elephant Man,1980,3.5
50956,Raging Bull,1980,4.5
97164,Junkopia,1981,
115781,Orderly or Disorderly,1981,2.5
176473,Beneath the Skin,1981,3.0
45224,Thief,1981,2.5
38035,Ms .45,1981,3.5
17039,Tango,1981,4.0
